trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.9801986733067554}",35,0,-240.67556724732572,"{0: 19, 1: 3, 2: 9, 3: 0, 4: 4}",0
2,False,"{'a': 0.3, 'e': 0.9607894391523232}",25,0,-151.2764260681977,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.9417645335842487}",35,8,-84.86076131462825,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 0}",1
4,False,"{'a': 0.3, 'e': 0.9231163463866358}",20,0,-85.97040683976705,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.3, 'e': 0.9048374180359595}",20,12,-74.22995689321937,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 1}",1
6,False,"{'a': 0.3, 'e': 0.8869204367171575}",20,0,-106.34374704052553,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.3, 'e': 0.8693582353988057}",25,0,-75.39547256910112,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.3, 'e': 0.8521437889662113}",25,0,-317.87158423572146,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 6}",0
9,False,"{'a': 0.3, 'e': 0.835270211411272}",25,17,-18.596041683920664,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.3, 'e': 0.8187307530779818}",20,9,-49.564278169545254,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.3, 'e': 0.8025187979624785}",35,0,-132.05561227507343,"{0: 21, 1: 8, 2: 4, 3: 0, 4: 2}",1
12,False,"{'a': 0.3, 'e': 0.7866278610665534}",25,0,-199.05656836877026,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
13,False,"{'a': 0.3, 'e': 0.7710515858035663}",35,0,-265.0806912700701,"{0: 17, 1: 5, 2: 8, 3: 1, 4: 4}",0
14,False,"{'a': 0.3, 'e': 0.7557837414557255}",25,0,-64.76607796141828,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.3, 'e': 0.7408182206817179}",20,2,-14.371245986882949,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 0}",1
